kommunenr,kommune,fil,dokumenttype,tittel,status,format,url
3324,Gol,3324_gol_kunnskapsgrunnlag_2018-2030,kunnskapsgrunnlag,Kunnskapsgrunnlag samfunnsdelen 2018-2030,vedtatt,pdf,https://www.gol.kommune.no/siteassets/planar-og-regulering/kommuneplanar/samfunnsdel/kunnskapsgrunnlag-samfunnsdelen-2018-30.pdf
3324,Gol,3324_gol_planstrategi_2024-2027,planstrategi,Planstrategi 2024-2027,vedtatt,pdf,https://www.gol.kommune.no/siteassets/planar-og-regulering/planstrategi-for-gol-kommune/planstrategi-for-gol-kommune-2024-27-vedtatt-av-kommunestyret.pdf
3324,Gol,3324_gol_planprogram_samfunnsdel_2026-2038,planprogram,Planprogram for samfunnsdelen av kommuneplan 2026-2038,vedtatt,pdf,https://www.gol.kommune.no/siteassets/planar-og-regulering/kommuneplanar/samfunnsdel/2026-2038/planprogram-for-samfunnsdelen-av-kommuneplan-2026-2038.pdf
3326,Hemsedal,3326_hemsedal_samfunnsdel_2019-2030,samfunnsdel,Kommuneplan - samfunnsdel 2019-2030,vedtatt,pdf,https://www.hemsedal.kommune.no/sider-fra-gammel-losning/hemsedal/plan-og-kunngjeringar/2.-kommuneplanar-reglement-og-retningsliner/samfunnsdel---vedteke-av-k-styret-07052020---k-sak-52-20.pdf
3326,Hemsedal,3326_hemsedal_planstrategi_2024-2027,planstrategi,Planstrategi 2024-2027,vedtatt,pdf,https://www.hemsedal.kommune.no/siteassets/plan.-bygg-og-eigedom/areal--og-samfunnplanlegging/planstrategi/planstrategi-for-hemsedal-kommune-2024-2027.pdf
3328,Ål,3328_aal_kommuneplan_2015-2027_tekstdel,samfunnsdel,Kommuneplan 2015-2027 - tekstdelen,vedtatt,pdf,https://www.aal.kommune.no/innhold-fra-gammel-losning/aal/plan--regulering/kommuneplan-2015-2027-tekstdelen.pdf
3328,Ål,3328_aal_planstrategi_2024-2027,planstrategi,Vedtak planstrategi 2024-2027,vedtatt,pdf,https://www.aal.kommune.no/siteassets/dokumenter/plan/vedtak-planstrategi-for-al-kommune-2024-2027.pdf
3330,Hol,3330_hol_samfunnsdel_2018-2030,samfunnsdel,Kommuneplanens samfunnsdel 2018-2030,vedtatt,pdf,https://www.hol.kommune.no/siteassets/dokumenter-hol/plan-og-utvikling/planer-og-bestemmelser/kommuneplaner/kommuneplaner/kommuneplanens-samfunnsdel-2018-2030.pdf
3330,Hol,3330_hol_planstrategi_2024-2027,planstrategi,Kommunal planstrategi 2024-2027 - endelig vedtatt,vedtatt,pdf,https://www.hol.kommune.no/siteassets/dokumenter-hol/plan-og-utvikling/planer-og-bestemmelser/kommuneplaner/kommuneplaner/planstrategi-2024-2027/endelig-vedtatt-kommunal-planstrategi-2024-2027.pdf
3330,Hol,3330_hol_kommunedelplan_helse_omsorg_2025-2037,helse_omsorg,Kommunedelplan for helse og omsorg 2025-2037,vedtatt,pdf,https://www.hol.kommune.no/siteassets/dokumenter-hol/helse-og-omsorg/vedtatt-kommunedelplan-helse-og-omsorg-_kommunestyret-10.4.2025.pdf
3332,Sigdal,3332_sigdal_samfunnsdel_2022-2035,samfunnsdel,Kommuneplanens samfunnsdel 2022-2035,vedtatt,pdf,https://aimblob.blob.core.windows.net/aimfiles/98a60eb2-0650-43a7-9873-27fea15bd7de.pdf
3332,Sigdal,3332_sigdal_planstrategi_2024-2027,planstrategi,Planstrategi 2024-2027,vedtatt,pdf,https://aimblob.blob.core.windows.net/aimfiles/16ce28c2-382c-4ba4-91cb-fa8e804f6f43.pdf
3334,Flesberg,3334_flesberg_samfunnsdel_2025-2040,samfunnsdel,Kommuneplanens samfunnsdel 2025-2040 med langsiktige arealstrategier,vedtatt,framsikt,https://pub.framsikt.net/plan/flesberg/plan-2d141afb-9a2c-4c84-83a3-a620765567d2-86169/
3334,Flesberg,3334_flesberg_kunnskapsgrunnlag,kunnskapsgrunnlag,Kunnskapsgrunnlag for kommunal planlegging,rapport,framsikt,https://pub.framsikt.net/plan/flesberg/plan-f0f63f67-1add-4ef2-970b-50e428269310-56834/
3334,Flesberg,3334_flesberg_planstrategi_planprogram_samfunnsdel,planstrategi,Forenklet planstrategi og planprogram samfunnsdel,vedtatt,pdf,https://aimblob.blob.core.windows.net/aimfiles/5b6f2632-c4c4-4f89-8e66-7d7f9fcb3f9b.pdf
3336,Rollag,3336_rollag_samfunnsdel_2023-2033,samfunnsdel,Kommuneplanens samfunnsdel 2023-2033,vedtatt,framsikt,https://pub.framsikt.net/plan/rollag/plan-9bcfc320-1f6c-413b-b0cf-4161f88be5ea-42065/
3336,Rollag,3336_rollag_samfunnsdel_2023-2033_saerutskrift,vedtak,Særutskrift - sluttbehandling av kommuneplanens samfunnsdel 2023-2033,vedtatt,pdf,https://aimblob.blob.core.windows.net/aimfiles/ab1f15b3-85d4-4de1-961c-06f103b06172.pdf
3336,Rollag,3336_rollag_planprogram_samfunnsdel_2021-2033,planprogram,Planprogram kommuneplanens samfunnsdel 2021-2033,vedtatt,pdf,https://aimblob.blob.core.windows.net/aimfiles/2fa23f58-1f4a-4736-8cf1-39a43ada2b4d.pdf
3336,Rollag,3336_rollag_planstrategi_2020-2023,planstrategi,Planstrategi 2020-2023,vedtatt,pdf,https://aimblob.blob.core.windows.net/aimfiles/8e8435b1-007d-4073-9292-f813892eea93.pdf
3338,Nore og Uvdal,3338_nore-og-uvdal_samfunnsdel_tett_paa_folk,samfunnsdel,Kommuneplanens samfunnsdel - Tett på folk,vedtatt,pdf,https://aimblob.blob.core.windows.net/aimfiles/2c6d8520-2f64-4378-bbda-8afd9d10c511.pdf
3338,Nore og Uvdal,3338_nore-og-uvdal_temaplan_helse_omsorg_2025-2030,helse_omsorg,Temaplan helse og omsorg 2025-2030,vedtatt,pdf,https://aimblob.blob.core.windows.net/aimfiles/b3ce869c-2e7e-4d42-984b-ffac43b5bf0a.pdf
3338,Nore og Uvdal,3338_nore-og-uvdal_planstrategi_2025-2028,planstrategi,Vedtatt planstrategi 2025-2028,vedtatt,framsikt,https://pub.framsikt.net/plan/noreoguvdal/plan-4ea81a8f-cd1d-411b-9d68-72f703dc7f17-64896/
3338,Nore og Uvdal,3338_nore-og-uvdal_kommuneplangrunnlag_2024-2027,kunnskapsgrunnlag,Kommuneplangrunnlag 2024-2027,rapport,framsikt,https://pub.framsikt.net/plan/noreoguvdal/plan-fc340225-dab2-446b-8b5b-005b0210bd2e-53895/
3301,Drammen,3301_drammen_temaplan_boligutvikling_2023-2033,bolig,Temaplan for boligutvikling 2023-2033,vedtatt,web,https://www.drammen.kommune.no/politikk-samfunn/planer/temaplan-for-boligutvikling-2023--2033/
3301,Drammen,3301_drammen_bolig_omsorgsbygg_2023-2032,bolig_omsorg,Bolig og omsorgsbygg - helhetlig strategi for fremtidens behov 2023-2032,vedtatt,web,https://www.drammen.kommune.no/politikk-samfunn/planer/bolig-og-omsorgsbygg-helhetlig-strategi-fremtidens-behov-2023-2032/
3301,Drammen,3301_drammen_temaplan_aldersvennlig_samfunn_2026-2029,helse_omsorg,Temaplan for et aldersvennlig samfunn 2026-2029,vedtatt,web,https://www.drammen.kommune.no/politikk-samfunn/planer/temaplan-for-et-aldersvennlig-samfunn-2026-2029/
3301,Drammen,3301_drammen_temaplan_helse_sosial_omsorg,helse_omsorg,Temaplan - helse sosial og omsorg,vedtatt,web,https://www.drammen.kommune.no/politikk-samfunn/planer/temaplan/helse-sosial-og-omsorg/
3301,Drammen,3301_drammen_temaplan_folkehelse_levekar_2026-2035,folkehelse,Temaplan folkehelse levekår og inkludering 2026-2035,vedtatt,web,https://www.drammen.kommune.no/politikk-samfunn/planer/temaplan-folkehelse-levekar-og--inkludering-2026-2035/
3301,Drammen,3301_drammen_planstrategi_2024-2027,planstrategi,Planstrategi for Drammen kommune 2024-2027,vedtatt,web,https://www.drammen.kommune.no/politikk-samfunn/planer/planstrategi-for-drammen-kommune-2024-2027/
3301,Drammen,3301_drammen_planstrategi_samlet_program,planstrategi,Planstrategi - samlet program for planlegging,vedtatt,pdf,https://www.drammen.kommune.no/globalassets/politikk-og-samfunn/planer/dokumenter/planstrategi-samlet-program.pdf
3301,Drammen,3301_drammen_folkehelseoversikt_2023,folkehelse,Folkehelseoversikt Drammen 2023,rapport,pdf,https://www.drammen.kommune.no/globalassets/politikk-og-samfunn/planer/dokumenter/folkehelseoversikt-drammen-2023.pdf
3301,Drammen,3301_drammen_levekarsstatistikk_2022,kunnskapsgrunnlag,Levekårsstatistikkrapport Drammen januar 2022,rapport,pdf,https://www.drammen.kommune.no/globalassets/politikk-og-samfunn/planer/dokumenter/levekarsstatistikkrapport-drammen-januar-2022.pdf
3303,Kongsberg,3303_kongsberg_boligsosial_plan_2023-2030,bolig,Boligsosial plan for Kongsberg kommune 2023-2030,vedtatt,pdf,https://aimblob.blob.core.windows.net/aimfiles/dec50ec7-4c9a-48ad-bd00-5cf9f9ad0cd5.pdf
3303,Kongsberg,3303_kongsberg_demografi_per_skolekrets,kunnskapsgrunnlag,Vedlegg til temaplan skolestruktur - demografi og befolkning per skolekrets,vedtatt,pdf,https://aimblob.blob.core.windows.net/aimfiles/521ad761-7e80-42af-8e80-e1bf57cfa23e.pdf
3303,Kongsberg,3303_kongsberg_temaplan_skolestruktur_2023-2030,kunnskapsgrunnlag,Temaplan skolestruktur 2023-2030,vedtatt,pdf,https://aimblob.blob.core.windows.net/aimfiles/0970b47c-55f6-4b05-a15b-0c550347176d.pdf
3303,Kongsberg,3303_kongsberg_helse_omsorgsplan_2018-2021,helse_omsorg,Helse- og omsorgsplan 2018-2021,vedtatt,pdf,https://aimblob.blob.core.windows.net/aimfiles/83523f16-d9ea-4ebf-9367-755b718ecd09.pdf
3303,Kongsberg,3303_kongsberg_temaplan_leve_hele_livet_funksjonsnedsettelse,helse_omsorg,Temaplan Leve hele livet - personer med nedsatt funksjonsevne,vedtatt,pdf,https://aimblob.blob.core.windows.net/aimfiles/b2ac8f0c-5321-4483-a484-7639369d9f5a.pdf
3303,Kongsberg,3303_kongsberg_menon_rapport,kunnskapsgrunnlag,Rapport fra Menon Economics (Kunnskap om Kongsberg),rapport,pdf,https://aimblob.blob.core.windows.net/aimfiles/2534a9c2-d7a9-49f6-8fd6-e0ddd3711ecd.pdf
3305,Ringerike,3305_ringerike_arealbruk_befolkning_honefoss_2025,kunnskapsgrunnlag,Bakgrunnsutredning - arealbruk befolkning og byplanlegging i Hønefoss 2025,rapport,pdf,https://www.ringerike.kommune.no/contentassets/892db26a59fc42909250684ab52e19c7/bakgrunn-utredning---arealbruk-befolkning-og-byplanlegging-i-honefoss.pdf
3305,Ringerike,3305_ringerike_leve_hele_livet_handlingsplan_2021,helse_omsorg,Leve hele livet - delrapport og handlingsplan (vedtatt 24.03.2021),vedtatt,pdf,https://www.ringerike.kommune.no/globalassets/bilder-blokker-og-filarkiv/innholdsblokker/helse/delrapport-og-handlingplan-for-lhl-vedtatt-ks-24mars21.pdf
3310,Hole,3310_hole_kommunedelplan_velferd_2026-2038,helse_omsorg,Kommunedelplan Velferd 2026-2038,vedtatt,pdf,https://www.hole.kommune.no/download/18.5c2c56c219c98a23dd04954/1772711775859/Kommunedelplan%20Velferd%202026-2038%20(7).pdf
3312,Lier,3312_lier_helhetlig_boligstrategi_2023-2027,bolig,Helhetlig boligstrategi 2023-2027,vedtatt,pdf,https://www.lier.kommune.no/globalassets/10.-politikk-og-samfunn/samfunn/planer/planer-og-rapporter/kjas-helhetlig-boligstrategi-2023-2027.pdf
3312,Lier,3312_lier_temaplan_helse_omsorg_velferd_2018-2026,helse_omsorg,Temaplan helse omsorg og velferd 2018-2026,vedtatt,pdf,https://www.lier.kommune.no/globalassets/07.-helse-omsorg-og-velferd/planer/temaplan-helse-omsorgs-og-velferd-2018-2026.pdf
3312,Lier,3312_lier_temaplan_demensomsorg_2024-2028,helse_omsorg,Temaplan demensomsorg 2024-2028,vedtatt,pdf,https://www.lier.kommune.no/globalassets/10.-politikk-og-samfunn/samfunn/planer/planer-og-rapporter/kjas-temaplan-demensomsorg-2024-2028-jan-24-1.pdf
3312,Lier,3312_lier_handlingsplan_demensomsorg_2025-2029,helse_omsorg,Handlingsplan for demensomsorg 2025-2029,vedtatt,pdf,https://www.lier.kommune.no/contentassets/40a9deb26a294028ae3af28d1ce94304/handlingsplan-for--demensomsorg-2025-2029.pdf
3312,Lier,3312_lier_skolebehovsanalyse,kunnskapsgrunnlag,Rapport skolebehovsanalyse for Lier kommune,rapport,pdf,https://www.lier.kommune.no/globalassets/04.-bildegalleri/aktuelt/rapport_skolebehovsanalyse-for-lier-kommune.pdf
3312,Lier,3312_lier_folkehelsestrategi,folkehelse,Folkehelsestrategi 2019-2028,vedtatt,pdf,https://www.lier.kommune.no/globalassets/10.-politikk-og-samfunn/samfunn/planer/folkehelse/folkehelsestrategi_online-002.pdf
3316,Modum,3316_modum_helse_velferdsplan_2021,helse_omsorg,Helse- og velferdsplan (vedtatt 6.12.2021),vedtatt,pdf,https://www.modum.kommune.no/download/18.2b2ef61194d8525c6b6503/1739174578623/HELSE-%20OG%20VELFERDSPLAN%20%20(ny)%20vedtatt%206.12.2021.pdf
3316,Modum,3316_modum_boligplan_unge_2023,bolig,Boligplan Modum - for unge i etableringsfasen (KS-vedtak 118/23),vedtatt,pdf,https://www.modum.kommune.no/download/18.6e7630f19545f3f20b2863/1741094402058/Boligplan%20Modum%20-%20for%20unge%20i%20etableringsfasen.pdf
3318,Krødsherad,3318_krodsherad_temaplan_boligutvikling_2024-2033,bolig,Temaplan helhetlig boligutvikling 2024-2033 - hovedplan,vedtatt,pdf,https://www.krodsherad.kommune.no/_f/p12/i7a0e97bf-e178-4c41-9a4a-dfeff94429fa/temaplan-helhetlig-boligutvikling-2024-2033-hovedplan.pdf
3318,Krødsherad,3318_krodsherad_temaplan_boligutvikling_2024-2033_bakgrunn,bolig,Temaplan helhetlig boligutvikling 2024-2033 - bakgrunnsdokument,vedtatt,pdf,https://www.krodsherad.kommune.no/_f/p12/ie7b213fb-0d1c-4ca3-80b3-e82bfd2d8988/temaplan-helhetlig-boligutvikling-2024-2033-bakgrunnsdokument.pdf
3318,Krødsherad,3318_krodsherad_demensplan_2023-2027,helse_omsorg,Demensplan 2023-2027,vedtatt,pdf,https://www.krodsherad.kommune.no/_f/p12/i0b9e19e0-b723-4589-b74d-50521fc5b115/demensplan-2023-2027-oppdatert-juli-23-med-strategi.pdf
3318,Krødsherad,3318_krodsherad_velferdsteknologi_2023-2027,helse_omsorg,Handlingsplan for velferdsteknologi 2023-2027,vedtatt,pdf,https://www.krodsherad.kommune.no/_f/p12/i71802e7c-83b5-4ad0-b2ef-0a9259315154/handlingsplan-for-velferdsteknologi-2023-2027.pdf
3318,Krødsherad,3318_krodsherad_folkehelse_oversikt_2024-2028,folkehelse,Oversiktsdokument folkehelse 2024-2028,rapport,pdf,https://www.krodsherad.kommune.no/_f/p12/i73808805-b43d-4f16-8eee-7d427be92827/oversiktsdokument-krodsherad-2024-2028.pdf
3318,Krødsherad,3318_krodsherad_temaplan_folkehelse_2024-2033,folkehelse,Temaplan for folkehelse 2024-2033,vedtatt,pdf,https://www.krodsherad.kommune.no/_f/p12/i822ccb64-0631-4788-b3bb-e8b6308c1956/temaplan-for-folkehelse-2024-2033.pdf
3318,Krødsherad,3318_krodsherad_bosetting_flyktninger_2024-2028,integrering,Plan for bosetting og integrering av flyktninger 2024-2028,vedtatt,pdf,https://www.krodsherad.kommune.no/_f/p12/i29af9644-a0a5-431e-a50e-6c5e5a4fd4e9/plan-for-bosetting-og-integrering-av-flyktninger-2024-2028.pdf
3320,Flå,3320_flaa_planstrategi_2024-2027_horing,planstrategi,Planstrategi 2024-2027 - høringsutgave,høringsutkast,pdf,https://www.flaa.kommune.no/siteassets/kunngjoringer---horinger/planstrategi/planstrategi-2024-2027-fla-kommune-horingsutgave.pdf
3320,Flå,3320_flaa_folkehelse_oversikt_2024-2027,folkehelse,Oversiktsdokument folkehelse 2024-2027,rapport,pdf,https://www.flaa.kommune.no/siteassets/plan-og-regulering/oversiktsdokument-folkehelse-2024-2027.pdf
3320,Flå,3320_flaa_tilskudd_unge_boligsokende_2020,bolig,Reglement for kommunalt tilskudd til unge boligsøkende (revidert 2020),vedtatt,pdf,https://www.flaa.kommune.no/siteassets/plan-og-regulering/revidert---reglement-for-kommunalt-tilskudd-unge-boligsokende-2020.pdf
3322,Nesbyen,3322_nesbyen_folkehelse_2020,folkehelse,Folkehelse i Nesbyen (oversikt 03.01.2020),rapport,pdf,https://www.nesbyen.kommune.no/contentassets/0b702e94d7554cfdb0920b3628543719/folkehelse-i-nesbyen---03.01.2020.pdf
3324,Gol,3324_gol_kommunedelplan_helse_omsorg_2017-2026,helse_omsorg,Kommunedelplan helse og omsorg 2017-2026,vedtatt,pdf,https://www.gol.kommune.no/siteassets/helse-sosial-og-omsorg/planar-innan-helse/kommunedelplan-helse-og-omsorg-2017-2026_2.pdf
3324,Gol,3324_gol_bustadpolitisk_handlingsplan_hallingdal,bolig,Bustadpolitisk handlingsplan for Hallingdal,vedtatt,pdf,https://www.gol.kommune.no/siteassets/helse-sosial-og-omsorg/planar-innan-helse/bustadpolitisk-handlingsplan-for-hallingdal.pdf
3324,Gol,3324_gol_bustadpolitisk_handlingsplan_hallingdal_del2,bolig,Bustadpolitisk handlingsplan for Hallingdal - del 2 tillegg,vedtatt,pdf,https://www.gol.kommune.no/siteassets/helse-sosial-og-omsorg/planar-innan-helse/bustadpolitisk-handlingsplan-del-2---tillegg.pdf
3324,Gol,3324_gol_folkehelseprofil_oppsummering_2024,folkehelse,Oppsummering av folkehelseprofilen og oppvekstprofilen for Gol 2024,rapport,pdf,https://www.gol.kommune.no/siteassets/helse-sosial-og-omsorg/planar-innan-helse/oppsummering-av-folkehelseprofilen-og-oppvekstprofilen-for-gol-2024-1.pdf
3326,Hemsedal,3326_hemsedal_bustadpolitisk_plan_2025-2030,bolig,Bustadpolitisk plan 2025-2030 (vedteken 20.11.24),vedtatt,pdf,https://www.hemsedal.kommune.no/siteassets/bilder/hemsedal/bustadpolitisk-plan-2025-2030_vedteken201124.pdf
3326,Hemsedal,3326_hemsedal_bustadpolitisk_plan_kunnskapsgrunnlag,bolig,Bustadpolitisk plan - kunnskapsgrunnlag,vedtatt,pdf,https://www.hemsedal.kommune.no/siteassets/plan.-bygg-og-eigedom/bustadpolitisk-plan/kunnskapsgrunnlag.pdf
3326,Hemsedal,3326_hemsedal_bustadpolitisk_plan_moglegheitsstudie,bolig,Bustadpolitisk plan - moglegheitsstudie (underlag for temaplan),rapport,pdf,https://www.hemsedal.kommune.no/siteassets/plan.-bygg-og-eigedom/bustadpolitisk-plan/moglegheitsstudie---underlag-for-temaplan.pdf
3328,Ål,3328_aal_plan_helse_omsorgstenester_2025-2028,helse_omsorg,Plan for helse- og omsorgstenester 2025-2028,vedtatt,pdf,https://www.aal.kommune.no/siteassets/dokumenter/plan-og-regulering/plan-for-helse--og-omsorgstenester-2025-2028.pdf
3330,Hol,3330_hol_boligstrategi,bolig,Boligstrategi Hol kommune,vedtatt,pdf,https://www.hol.kommune.no/siteassets/dokumenter-hol/plan-og-utvikling/planer-og-bestemmelser/kommuneplaner/boligstrategi/boligstrategi-hol-kommune.pdf
3330,Hol,3330_hol_handlingsplan_folkehelse_2021-2033,folkehelse,Handlingsplan for folkehelse 2021-2033 (vedtatt des. 2025),vedtatt,pdf,https://www.hol.kommune.no/siteassets/dokumenter-hol/plan-og-utvikling/planer-og-bestemmelser/kommuneplaner/folkehelse-2021-2033/handlingsplan-for-folkehelse-2021-2033_vedtatt-des.2025.pdf
3330,Hol,3330_hol_tettstedsanalyse_geilo,kunnskapsgrunnlag,Tettstedsanalyse Geilo,rapport,pdf,https://www.hol.kommune.no/siteassets/dokumenter-hol/plan-og-utvikling/planer-og-bestemmelser/kommuneplaner/kommuneplaner/tettstedsanalyse-geilo-1.pdf
