kommunenr,kommune,fil,dokumenttype,tittel,side,avsnitt,n_sterk,n_svak,treff,n_treff,format,url
3326,Hemsedal,3326_hemsedal_planstrategi_2024-2027,planstrategi,Planstrategi 2024-2027,9,"Kommunens situasjon og planbehov Helse og omsorg Hemsedal kommune står overfor store demografiske endringer i årene som kommer. De kommunale helse- og omsorgstjenestene går i dag til færre tjenestemottakarar, men med mer krevende og sammensatte problemstillinger. Mer ansvar er flytta fra spesialisthelsetjenesten til kommunen, og kommunen opplever nye utfordringer med økt krav til spesialisering. Det gjør at kommunen må finne nye måter å løse oppgavene på. Det overordna målet er å styrke kommunen sin evne og kapasitet til å mestre og tilpasse seg samfunnsutviklingen og nye krav og muligheter gjennom målretta innsats og videre utvikling av kommunens tjenester. Samfunnsdelen er et verktøy i kommunens helhetlige planlegging. Den skal brukes til å forme og gi retning for kommunen i årene som kommer. Planen beskriver utfordringer og fastetter langsiktige mål og strategier. Folkehelseoversikten ligger til grunn for arbeidet. Hemsedal har flere interessante trekk i folkehelsa som bør påvirke hvordan vi utformer planstrategien: - Positiv befolkningsvekst med mange yrkesaktive: Med en stor del av befolkningen i yrkesaktiv alder har Hemsedal et godt utgangspunkt for å opprettholde økonomisk vekst og samfunnsdeltakelse. Samtidig bør det legges til rette for å støtte arbeidsstyrken gjennom gode helse- og velferdstilbud, samt tilrettelegging for at de kan holde seg yrkesaktive lenger. Det bør derfor vurderes tiltak som bidrar til å fremme folkehelsa blant yrkesaktive, som tilrettelegging for et sunt arbeidsliv og tilgang til helsetjenester som forebygger livsstilssykdommer. - Stabile fødselstall, men ikke økende: Med stabile fødselstall, men uten vekst, kan det bli utfordrende å sikre en bærekraftig framtidig befolkningsutvikling. Det bør derfor vurderes tiltak som gjør Hemsedal til et attraktivt sted for barnefamilier, som tilrettelegging for boliger, barnehager og gode oppvekstvilkår. - Færre eldre innbyggere: Med en lavere andel eldre enn landssnittet, er det likevel viktig å planlegge for en aldrende befolkning på sikt. Vi kan være proaktive ved å utvikle tilbud som fremmer aktiv aldring, slik at eldre kan bo hjemme lengst mulig og ha tilgang til nødvendige tjenester. - Høy forventet levealder: Dette er et positivt trekk for kommunen, men det stiller også krav til helse- og omsorgstjenestene. Det må sikres at ressursar blir satt av til å møte behovet for langsiktig omsorg og helseforbedrende tiltak som legger til rette for et godt liv for de eldre. - Innvandrerbakgrunn hos en stor del av befolkningen: Denne demografiske utviklingen krever at vi har fokus på integrering, inkludering og tilgang til likeverdige helsetjenester for alle grupper i samfunnet. Det bør derfor være et prioritert mål å utvikle tiltak som fremmer sosial inkludering og god helse for innvandrarbefolkningen. - Høy andel aleneboende over 45 år: Denne gruppen kan være mer sårbar for isolasjon og psykiske utfordringer. Det bør inkluderes tiltak som fremmer sosial deltakelse og støtter denne gruppen, med fokus på å motvirke ensomhet og styrke den psykiske helsa.",12,12,"demografiske, befolkningsvekst, yrkesaktiv alder, fødselstall, befolkningsutvikling, andel eldre, aldring, levealder, innvandrerbakgrunn, innvandrarbefolkningen, befolkningen, eldre, innbyggere, befolkning, aleneboende",24,pdf,https://www.hemsedal.kommune.no/siteassets/plan.-bygg-og-eigedom/areal--og-samfunnplanlegging/planstrategi/planstrategi-for-hemsedal-kommune-2024-2027.pdf
3326,Hemsedal,3326_hemsedal_planstrategi_2024-2027,planstrategi,Planstrategi 2024-2027,10,"For å oppnå en effektiv og helhetlig planstrategi for Hemsedal må folkehelseutfordringene sees i sammenheng med framtidige utviklingsmål for kommunen. Dette inneber at vi må legge vekt på befolkningsstrukturen, aldring, integrering og psykososial helse, samtidig som vi sikrer at helse- og velferdstilbudene holder tritt med behovene i lokalsamfunnet. Slik kan vi skape en berekraftig og helsefremmende framtid for alle innbyggere i Hemsedal. Kommunen vil i denne perioden prioritere å arbeide med følgende temaplaner i sektor for helse og omsorg: • Plan for psykososialt kriseteam • Plan for smittervern • Plan for forebyggende rusarbeid • Plan for psykisk helse • Plan for rusmiddelpolitikk inkl. handlingsdel • Plan for rehabilitering og habilitering • Plan for demens • Strategisk plan for helse og omsorg 2024-2030 Oppvekst og kultur Plan for forebygging av omsorgssvikt og atferdsproblem er et samarbeidsprosjekt med helse og er nasjonalt initiert. Planen sluttføres i første halvår 2024. Med Oppvekstreformen (januar 2022), Kompetanseløftet (varig ordning fra 2025) og ny Opplæringslov (i kraft august 2024) vil det bli behov for plan for forebygging i oppvekstsektoren: «Skolen og lærebedriften har en sentral rolle i den viktige oppgaven det er å utdanne mennesker som kan mestre sine egne liv, og som kan bidra til andres mestring. I vår tid innbefatter denne oppgaven å forebygge på flere livsområder. Skolen og lærebedriften skal hjelpe barn og unge til å utvikle kunnskaper, holdninger og strategier, slik at de styrer unna valg som kan gi uheldige konsekvenser for helse og livsstil på kort og lang sikt (rapport fra utdanningsdirektoratet og sosial- og helsedirektoratet om forebyggende innsatser i skolen.)» Plan for overgang fra barnehage til skole er godt i gang og blir sluttført tidlig på høsten 2024. Behovet for ny overgangsplan er et resultat av at oppvekstsentrene Tuv og Ulsåk opphørte 31. juli 2024. Nå er det kun barnehagedrift i grendene og alle elever 1.-4. klasse er lokalisert til Hemsedal skole på Trøym. Denne endringen har skapt behov for nye rutiner. Kulturplan og Kulturminneplan var prioritert i planstrategien 2019-2023, men ble ikke utarbeidet som følge av ressursmangel. Kommunen mener kultursektoren fortjener prioritet i denne perioden med støtte fra nytilsatt kultursjef i arbeid fra høsten 2024. Teknisk Kommuneplanens arealdel ble vedtatt i 2019, og det kan argumenteres for at den bør revideres i lys av kommuneplanens samfunnsdel som ble vedtatt i 2020. Et behov for revisjon styrkes også av den utviklingen som har vært i senere år når det gjelder både overordna føringer for arealplanlegging og kunnskapsgrunnlaget som ligger til grunn. Revisjon av kommuneplanens arealdel lå inne allerede i forrige planstrategi, men ble ikke gjennomført. Kommunen mener at dette fortsatt er en prioritet. Kommunen gjennomførte i 2021-2022 et prosjekt ved navn “Smart Fjellbygd”. Det bygget på bred medvirkning fra ulike grupper i bygda (unge, gamle, næringsdrivende, fritidsboligeiere mv.) og ga forslag og anbefalinger om videre utvikling. Rapporten ble forankret i faste høringsgrupper og",2,3,"befolkningsstrukturen, aldring, innbyggere, demens",5,pdf,https://www.hemsedal.kommune.no/siteassets/plan.-bygg-og-eigedom/areal--og-samfunnplanlegging/planstrategi/planstrategi-for-hemsedal-kommune-2024-2027.pdf
3328,Ål,3328_aal_kommuneplan_2015-2027_tekstdel,samfunnsdel,Kommuneplan 2015-2027 - tekstdelen,3,"Føreord 4 1 Innleiing 5 1.1 Det kommunale plansystemet i Ål 5 1.2 Planprosessen 5 2 Fakta og utviklingstrekk 6 2.1 Folketal og busetjingsmønster 6 2.1.1 Framskriven befolkning 6 2.2 Naturressursar 7 2.3 Samhandling og regionalt samarbeid i Hallingdal 7 2.4 Næringsliv 7 2.5 Arrangementskommune 8 2.6 Hyttekommune 8 2.7 Kultur og fritid 8 2.8 Folkehelse 8 2.9 Kommunalt tenestetilbod og kommuneorganisasjon 8 3 Visjon, overordna mål og satsingsområde 9 3.1 Visjon, overordna mål og satsingsområde 9 3.2 Overordna mål 9 3.3 Satsingsområde 9 4 Delmål - 2015-2027 10 4.1 Oppvekstmiljø 10 4.2 Kultur og fritid 11 4.3 Helse og omsorg 12 4.4 Folkehelse 13 4.5 Attraktivt sentrum og levande grender 14 4.6 Næringsutvikling 15 4.7 Utdanning og kompetanseutvikling 16 4.8 Natur og kulturlandskap 17 4.9 Trygt for alle 18 4.10 Klima og energi, samferdsel og infrastruktur 19 5 Ordforklaringar 20",2,1,"folketal, framskriven, befolkning",3,pdf,https://www.aal.kommune.no/innhold-fra-gammel-losning/aal/plan--regulering/kommuneplan-2015-2027-tekstdelen.pdf
3328,Ål,3328_aal_kommuneplan_2015-2027_tekstdel,samfunnsdel,Kommuneplan 2015-2027 - tekstdelen,6,"Folketalet i Ål har stagnert på om lag 4800 innbyggjarar dei siste åra. Fordelinga mellom folk som bur i sentrum og i grendene har samla sett ikkje endra seg stort. Det er byggeklare kommunale tomter i eit nytt stort bustadfelt i Kolbotn i Vestlia. Det er også ledig kommunale tomter ved Vangen, i Votndalen, Leveld, Vats og på Torpo.",1,0,folketalet,1,pdf,https://www.aal.kommune.no/innhold-fra-gammel-losning/aal/plan--regulering/kommuneplan-2015-2027-tekstdelen.pdf
3328,Ål,3328_aal_kommuneplan_2015-2027_tekstdel,samfunnsdel,Kommuneplan 2015-2027 - tekstdelen,6,"I fylgje statistikk frå SSB er forventa folketalsauke i Ål på 8,5 % frå 2012 til 2030 (figur 1). Som for landet elles er det venta ein auke i tal på innbyggjarar over 75 år, og lite auke i andre aldersgrupper. Ein finn meir om folketal på denne linken: http://www.aal.kommune.no/ PageFiles/51652/Folketalsutvikling%20%c3%85l%20 2012_2030.pdf",4,1,"folketalsauke, 75 år, folketal, folketalsutvikling, ssb",5,pdf,https://www.aal.kommune.no/innhold-fra-gammel-losning/aal/plan--regulering/kommuneplan-2015-2027-tekstdelen.pdf
3328,Ål,3328_aal_kommuneplan_2015-2027_tekstdel,samfunnsdel,Kommuneplan 2015-2027 - tekstdelen,8,"Samhandlingsreforma legg føringar for at førebyggjande tiltak skal vektleggast for å bremse sjukdomsutvikling. Folkehelseutfordringar generelt i 2014 er knytt til levevanar som inaktivitet, tobakk, kosthald og miljøfaktorar. Sosiale skilnadar i helse er aukande. Ein ser og auke i personar med psykiske vanskar, og fleire som opplever einsemd. Ål ligg over landssnittet og fylket når det gjeld andel born som veks opp i familiar med låg inntekt, men kommunen er på landsnivå i høve inntektsnivå (Sjå folkehelseprofilen for Ål: http://www. aal.kommune.no/Tjenester/ Helse/Friskliv/Folkehelse/) I Ål vil det fortsatt vere ein høg andel eldre i framtida. Det inneber både ressurstilgang (frivillige eldre), men også auka kostnadar knytt til omsorgstenesta. 2.9 Kommunalt tenestetilbod og kommuneorganisasjon Kommuneadministrasjonen ynskjer å ha høgast mogeleg kvalitet i tenestetilboda. Administrasjonen sine verdiar er open – grundig – modig. Helse- og omsorgstenester, barnehagar og skular har vorte styrka dei siste åra med tenlege bygg. Store utbyggingar innan helse er på gang. Det er ei utfordring å ta vare på kommunale bygg og anlegg på ein god måte. Trongen for utbetring av vatnog kloakknett og ynskt utbygging av gangvegar, krev store ressursar i åra som kjem.",1,2,"andel eldre, eldre",3,pdf,https://www.aal.kommune.no/innhold-fra-gammel-losning/aal/plan--regulering/kommuneplan-2015-2027-tekstdelen.pdf
3328,Ål,3328_aal_kommuneplan_2015-2027_tekstdel,samfunnsdel,Kommuneplan 2015-2027 - tekstdelen,12,"tilby tenester som gjer at den enkelte kan meistre tilveret etter sjukdom og skadar. Oppsøkande team for eldre, kvardagsrehabilitering og helseteknologi skal hjelpe brukarane til å greie seg heime. 6. Leggje til rette for dag- og aktivitetsplassar, praksisplassar og tilrettelagte arbeidsplassar, særleg for dei som har vanskar med å finne sin plass i det ordinære arbeidslivet. 7. Styrke omsorgstenestene slik at kommunen kan ha eit tenestetilbod som er i balanse med behovet. Spesielt skal demensomsorga og heimetenestene til eldre styrkast. Ein skal ha fokus på korttidsavdelinga på sjukeheimen og heimetenestene for å kunne ta hand om dårlegare pasientar.",0,3,"eldre, demensomsorga",3,pdf,https://www.aal.kommune.no/innhold-fra-gammel-losning/aal/plan--regulering/kommuneplan-2015-2027-tekstdelen.pdf
3330,Hol,3330_hol_samfunnsdel_2018-2030,samfunnsdel,Kommuneplanens samfunnsdel 2018-2030,3,"Innledning Kommuneplanens samfunnsdel viser retningen for Hol kommune fram mot 2030. Kommuneplanens samfunnsdel og arealdel er kommunens overordnede styringsdokument. Samfunnsdelen tar stilling til langsiktige utfordringer, mål og strategier for kommunesamfunnet som helhet og kommunen som organisasjon. Den danner grunnlaget for kommunens økonomiplan (handlingsdelen) og årlige budsjett, og gir overordnede føringer for tematiske kommunedelplaner og øvrige temaplaner. Bakgrunnen for den nye kommuneplanens samfunnsdel er vedtak i kommunal planstrategi for Hol kommune i perioden 2016-2020, vedtatt i kommunestyret 31. august 2016. Den viser til behov for endringer i form og innhold, tilpasset endringer i samfunnet og kommunens økonomiske situasjon. I planprosessen har det vært lagt vekt på bred medvirkning fra innbyggerne i kommunen. Før oppstart med selve planen, ble det våren 2017 gjennomført en innbyggerundersøkelse blant alle kommunens innbyggere over 18 år. Etter vedtak av planprogram, ble det holdt tre folkemøter; på Geilo, i Dagali og i Hol. Der kunne alle som ønsket det komme med sine meninger om hva kommunen burde ha fokus på mot fremtiden. For å sikre barn og unges innflytelse på kommuneplanen, ble tiende trinn på Geilo barne- og ungdomsskole utfordret til å presentere sine ønsker for fremtiden for kommunestyret. Dette resulterte i mange gode innspill i form av bl.a. presentasjoner, filmer og leserinnlegg. Hol eldreråd og Råd for mennesker med nedsatt funksjonsevne har vært involvert i planrevisjonen gjennom egne orienteringer og ved å avgi høringsuttalelser. 3",0,2,"innbyggere, eldre",2,pdf,https://www.hol.kommune.no/siteassets/dokumenter-hol/plan-og-utvikling/planer-og-bestemmelser/kommuneplaner/kommuneplaner/kommuneplanens-samfunnsdel-2018-2030.pdf
3330,Hol,3330_hol_samfunnsdel_2018-2030,samfunnsdel,Kommuneplanens samfunnsdel 2018-2030,4,Folketall [ per 4. kvartal 2017 ] 4 520 innbyggere Forventet utvikling Befolkning i 2030 4 560 innbyggere,1,3,"folketall, innbyggere, befolkning",4,pdf,https://www.hol.kommune.no/siteassets/dokumenter-hol/plan-og-utvikling/planer-og-bestemmelser/kommuneplaner/kommuneplaner/kommuneplanens-samfunnsdel-2018-2030.pdf
3330,Hol,3330_hol_samfunnsdel_2018-2030,samfunnsdel,Kommuneplanens samfunnsdel 2018-2030,4,Hol i 2018 Befolkning i 2040 4 615 innbyggere,0,2,"befolkning, innbyggere",2,pdf,https://www.hol.kommune.no/siteassets/dokumenter-hol/plan-og-utvikling/planer-og-bestemmelser/kommuneplaner/kommuneplaner/kommuneplanens-samfunnsdel-2018-2030.pdf
3330,Hol,3330_hol_samfunnsdel_2018-2030,samfunnsdel,Kommuneplanens samfunnsdel 2018-2030,6,"Innbyggertall er nå oppadgående, etter flere år med nedgang. Svakt stigende folketall er resultat av innflytting. Samtidig gjør eldrebølgen at gjennomsnittsalderen i kommunen øker. Hol kommune trenger enda flere unge innbyggere for å oppnå ønsket befolkningsutvikling.",5,3,"innbyggertall, folketall, innflytting, eldrebølgen, befolkningsutvikling, eldre, innbyggere",8,pdf,https://www.hol.kommune.no/siteassets/dokumenter-hol/plan-og-utvikling/planer-og-bestemmelser/kommuneplaner/kommuneplaner/kommuneplanens-samfunnsdel-2018-2030.pdf
3330,Hol,3330_hol_samfunnsdel_2018-2030,samfunnsdel,Kommuneplanens samfunnsdel 2018-2030,6,Antall innbyggere fordelt på områder. Siste to kolonner viser endring. Kilde SSB.,1,2,"antall innbyggere, innbyggere, ssb",3,pdf,https://www.hol.kommune.no/siteassets/dokumenter-hol/plan-og-utvikling/planer-og-bestemmelser/kommuneplaner/kommuneplaner/kommuneplanens-samfunnsdel-2018-2030.pdf
3330,Hol,3330_hol_samfunnsdel_2018-2030,samfunnsdel,Kommuneplanens samfunnsdel 2018-2030,7,"Hol er en stor hyttekommune og en attraktiv reiselivsdestinasjon, hvor mange av arbeidsplassene er knyttet til besøksnæring. Mange er sysselsatt i varehandel og bygg- og anleggsbransjen, og det er et levende landbruk. Kommunen er ellers en stor arbeidsgiver. For å være konkurransedyktige i framtiden, er det en utfordring å gjøre arbeidsmarkedet mer attraktivt, variert og innovativt. Geilo sentrum er i stadig utvikling. Gjennom de siste årenes opprusting har det blitt et flott tilrettelagt sentrum for handel og arrangementer. Det er fremdeles rom for å videreutvikle Geilo sentrum som et urbant bygdesentrum, en mer sosial møteplass og med en tydelig nasjonalparklandsbyprofil. De siste årenes utvikling har gitt kommunen et flott sentrum, flere fritidsboliger, næringsbygg og ikke minst flere gjester. Det er anslått at det på det meste befinner seg rundt 45.000 mennesker i kommunen, og det utfordrer den offentlige infrastrukturen som ikke har hatt samme utbyggingstakt. I årene fremover blir det en utfordring å finne riktig utbyggingsretning og rekkefølge for ny infrastruktur, boliger, næringsareal og reiseliv. Hol kommune har et høyt tjenestenivå for sine innbyggere i både skole, barnehager og helse- og omsorgstjenester, og en del av tjenestene ligger til grendene. Strukturer og ressursbruk innen disse sektorene er tema som stadig vender tilbake. Det er ønskelig med mer forutsigbarhet, spesielt knyttet til plassering av tjenestene, da det er utfordrende for både brukere og ansatte å forholde seg til årlige vurderinger av hvorvidt de skal opprettholdes. Kommunen har utfordringer, spesielt knyttet til å opprettholde folketall i grendene og å tiltrekke seg unge innbyggere. Grunnlaget er likevel tilstede for å utvikle bostedsattraktivitet og arbeidsmarked gjennom målrettede strategier. Samtidig kan vi skape en grønnere utvikling med mer effektiv og miljøvennlig transport, bedre infrastruktur tilpasset eksisterende og fremtidig behov, og redusert nedbygging av jordbruks- og naturområder.",1,2,"folketall, innbyggere",3,pdf,https://www.hol.kommune.no/siteassets/dokumenter-hol/plan-og-utvikling/planer-og-bestemmelser/kommuneplaner/kommuneplaner/kommuneplanens-samfunnsdel-2018-2030.pdf
3330,Hol,3330_hol_samfunnsdel_2018-2030,samfunnsdel,Kommuneplanens samfunnsdel 2018-2030,8,"Kommunens innbyggere synes det er godt å bo og vokse opp i Hol. I konkurransen med byene og andre kommuner, ønsker vi å fremstå som en attraktiv bo- og arbeidskommune. Vi er en stolt nasjonalparkkommune og et fantastisk reisemål, men først og fremst skal Hol være et sted man vil bo og leve «det gode liv». Hol kommune ønsker å beholde de som bor og vokser opp her, og være attraktiv for nye innbyggere. Kommunen har et godt utgangspunkt for en positiv befolkningsutvikling. Innsatsen må legges i gode og varierte arbeidsplasser og et godt botilbud.",1,3,"befolkningsutvikling, innbyggere",4,pdf,https://www.hol.kommune.no/siteassets/dokumenter-hol/plan-og-utvikling/planer-og-bestemmelser/kommuneplaner/kommuneplaner/kommuneplanens-samfunnsdel-2018-2030.pdf
3330,Hol,3330_hol_samfunnsdel_2018-2030,samfunnsdel,Kommuneplanens samfunnsdel 2018-2030,8,"Hol kommune skal være en trygg og god kommune å vokse opp og bo i, med vekst i folketallet, der arbeidsmarkedet er variert og hele kommunen er i bruk.",1,0,folketallet,1,pdf,https://www.hol.kommune.no/siteassets/dokumenter-hol/plan-og-utvikling/planer-og-bestemmelser/kommuneplaner/kommuneplaner/kommuneplanens-samfunnsdel-2018-2030.pdf
3330,Hol,3330_hol_samfunnsdel_2018-2030,samfunnsdel,Kommuneplanens samfunnsdel 2018-2030,11,"Befolkning og bolig Folketallsutviklingen i Hol kommune har vært positiv de siste årene, og nå ved inngangen av 2018 bor det 4520 personer i kommunen. Dette er en gledelig utvikling, og Hol kommune ønsker å stimulere til videre befolkningsvekst i hele kommunen. Det er ønskelig å satse ekstra på tilrettelegging for unge mennesker i etableringsfasen og barnefamilier, for å gi enda mer liv og utjevne alderssammensetningen i lokalsamfunnet. En av de viktigste forutsetningene for økt bosetning er et variert boligmarked. Det er i flere deler av kommunen mangel på både på boligtomter og boliger i markedet. Det er også behov for variasjon i tilgjengelige boliger for å være attraktiv for tilflytting, og ikke minst for å hindre utflytting. Det blir enda viktigere fremover å videreutvikle Geilo som et urbant, sosialt, friluftsnært og attraktivt bosted. MÅL: Minst 5.000 innbyggere i kommunen i 2030 Strategier for å nå målet: Hol kommune skal: • skape trivelige og gode bomiljø gjennom helhetlig og samordnet areal- og transportplanlegging. • bidra til at det er tilgjengelige boliger og tomter på Geilo og i alle grendene gjennom kommunal tilrettelegging og samarbeid med private grunneiere. • avsette tilstrekkelig sentrumsnære arealer til boligutvikling for fremtiden. I tettsteds- og bygdesentra skal boligbygging prioriteres fremfor andre utbyggingsformål. • være pådriver for iverksettelse av vedtatte reguleringsplaner for boligområder. • opprettholde og aktivt følge opp boplikt som et verktøy for å sikre at boliger forblir på markedet for fastboende. Herunder skal det vurderes å oppheve slektskapsunntaket. • samarbeide regionalt om profilering av Hallingdal som bosted. • ha gode boligsosiale tilbud for å hjelpe vanskeligstilte på boligmarkedet med å mestre egne boforhold. 11",5,3,"folketallsutviklingen, befolkningsvekst, alderssammensetningen, tilflytting, utflytting, befolkning, innbyggere",8,pdf,https://www.hol.kommune.no/siteassets/dokumenter-hol/plan-og-utvikling/planer-og-bestemmelser/kommuneplaner/kommuneplaner/kommuneplanens-samfunnsdel-2018-2030.pdf
3330,Hol,3330_hol_samfunnsdel_2018-2030,samfunnsdel,Kommuneplanens samfunnsdel 2018-2030,12,"Folkehelse Folkehelseloven (2012) er styrende for kommunens folkehelsearbeid. Loven sier bl.a. at kommunen skal fremme befolkningens helse, trivsel, gode sosiale og miljømessige forhold og bidra til å forebygge psykisk og somatisk sykdom, skade eller lidelse, bidra til utjevning av sosiale helseforskjeller og bidra til å beskytte befolkningen mot faktorer som kan ha negativ innvirkning på helsen. Kommunen skal ha nødvendig oversikt over helsetilstanden i befolkningen og de positive og negative faktorer som kan virke inn på denne. Oversikten skal være utgangspunkt for arbeidet med mål og strategier for kommunens folkehelsearbeid som vil være egnet til å møte de utfordringer kommunen står overfor. Folkehelseprofilen viser at Hol kommune jevnt over er bedre enn landsgjennomsnittet for indikatorene innenfor helse og sykdom. Den sier blant annet at det er lavt frafall i videregående skole, men at ungdommene ikke er fornøyd med egen helse og er litt mindre fysisk aktive enn andre steder i landet. MÅL: En aktiv befolkning med høy livskvalitet Strategier for å nå målet: Hol kommune skal: • ivareta et trygt og inkluderende oppvekstmiljø. • ivareta folkehelseperspektivet i all kommunal planlegging, inkludert arealdisponering. • satse på forebyggende helsetjenester, som for eksempel friskliv og læring og mestring, i kommunen. • delta aktivt i regionalt folkehelsearbeid. • benytte frivilligsentralen for å kunne tilby et bredere spekter av fritidsaktiviteter. Kommunal folkehelsegruppe (FHG) ivaretar oppdraget om å ha oversikt over helsetilstanden i befolkningen, prioritere tiltak for bedring av folkehelsen, evaluere tiltakene og formidle relaterte saker til kommunale organ. 12",0,5,"befolkningens, befolkningen, befolkning",5,pdf,https://www.hol.kommune.no/siteassets/dokumenter-hol/plan-og-utvikling/planer-og-bestemmelser/kommuneplaner/kommuneplaner/kommuneplanens-samfunnsdel-2018-2030.pdf
3330,Hol,3330_hol_samfunnsdel_2018-2030,samfunnsdel,Kommuneplanens samfunnsdel 2018-2030,20,"Hol som helse- og omsorgskommune Helse- og omsorgstjenestene i kommunen skal fremme god helse for brukerne. Uavhengig av alder og bosted skal brukerne kjenne seg trygge og mestre eget liv. Gode oppvekstkår og levekår er grunnleggende for en god helse i befolkningen. Hol kommune bidrar til bedre helse gjennom forebyggende tiltak og tilrettelegging for utvikling av sosiale relasjoner, medvirkning og inkludering. Den demografiske utviklingen tilsier at gjennomsnittsalderen i kommunen vil øke de neste årene. Antall personer over 80 år, vil i 2030 være nært det dobbelte av det det er i dag. Dette innebærer at andelen pleietrengende vil øke. Samtidig representerer den økte andel eldre i kommunen en positiv ressurs for bidrag til samfunnsnyttige oppgaver. MÅL: Innbyggere og gjester i Hol kommune skal føle trygghet for egen helse og velferd. Strategier for å nå målet: Hol kommune skal: • vektlegge tidlig innsats og forebygging for god helse i befolkningen. • ha et helse- og omsorgstilbud som er koordinert og fokuserer på helhet, brukermedvirkning og egenmestring. • ha en framtidsrettet utvikling av tjenestetilbudet med fokus på investering i egnede bygg, velferdsteknologi og innovasjon. Kompetanse og infrastruktur skal utvikles for på rett måte å kunne møte den demografiske utvikling. • aktivt delta i utvikling av regionalt samarbeid innen helse og omsorg. • involvere egne tjenesteytere i organisasjonsutvikling for å sikre kvaliteten og brukeropplevelsen av tjenestene de skal gi. • arbeide for at de eldre skal bo lengst mulig i egen bolig. Bruk av velferdsteknologi og Smarthus er en forutsetning. • ha økt fokus på psykisk helse. Utvikling av tjenestene skal skje med medvirkning av brukere. • sikre at barn får hjelp i sitt nærområde. 20",4,5,"demografiske, over 80, andel eldre, befolkningen, eldre, innbyggere",9,pdf,https://www.hol.kommune.no/siteassets/dokumenter-hol/plan-og-utvikling/planer-og-bestemmelser/kommuneplaner/kommuneplaner/kommuneplanens-samfunnsdel-2018-2030.pdf
3330,Hol,3330_hol_samfunnsdel_2018-2030,samfunnsdel,Kommuneplanens samfunnsdel 2018-2030,23,"Eksisterende næringer Reiselivet er hjørnesteinen i næringslivet i kommunen med 35 % av arbeidsplassene, og det er viktig å støtte opp om videreutvikling av reiselivet i samarbeid med næringen. Bygg og anleggsbransjen har 13% av arbeidsplassene, med hovedtyngden av byggevirksomhetene knyttet til fritidsboliger og reiselivsrelaterte bygg. I snitt de siste fem årene er det gitt igangsettingstillatelser til 71 hytter årlig. Med en tomtereserve på over 5000 tomter i kommunen og samme utbyggingstakt, har bygg- og anleggsnæringen arbeid med bygging av fritidsboliger de neste 70 årene. Geilo sentrum har gjennomgått en stor oppgradering de siste årene, og har blitt et flott sentrum for en levende bygd og for mange større arrangementer. Her ligger hovedtyngden av butikkene i kommunen, og totalt er ca. 12% av arbeidsplassene knyttet til detaljhandel. Landbruk er og skal være en viktig næring i Hol kommune, og har hatt en positiv utvikling de siste årene, med økte investeringer og satsing på nisjeprodukter. Det er mange store og varierte lokalmatprodusenter, samt et viltslakteri, i kommunen. MÅL: Styrke de eksisterende næringer og bidra til utvikling og nyskaping i støttenæringer. Strategier for å nå målet: Hol kommune skal: • være tydelig på sin rolle som tilrettelegger og samarbeidspartner for næringslivet, samt jobbe mer utadrettet. • sikre og videreutvikle et urbant Geilo sentrum som bygdesentrum og handelssentrum. Ved fremtidige behov for arealer til nye handelsetableringer skal regulerte områder i sentrum tas i bruk. Geilo skal også videreutvikles som bærekraftig reisemål, nasjonalparklandsby og arrangementssentrum. • samarbeide med næringsaktørene i reiselivet om utvikling av Geilo/ Hol som destinasjon. Det vektlegges at det ligger stort potensial i utvikling av næringer knyttet til Hol som nasjonalparkkommune og Geilo som nasjonalparklandsby. • videreføre arealpolitikk for varme og kalde senger som bærende prinsipp for forvaltning av næringsarealer. • bidra til å opprettholde og videreutvikle landbruksnæringene, og støtte utvikling av nye tilleggsnæringer basert på lokale natur- og kulturressurser og nyskapende drift. Det er viktig med et landbruk i aktiv drift som opprettholder kulturlandskapet. • praktisere streng håndheving av konsesjoner i landbruket for å sikre aktiv gårdsdrift. • være nasjonalparkkommune under merkevaren Norges nasjonalparker. Målrettet arbeid skal stimulere og bidra til lokal verdiskapning og næringsutvikling med grunnlag i merkevaren. 23",1,0,70 år,1,pdf,https://www.hol.kommune.no/siteassets/dokumenter-hol/plan-og-utvikling/planer-og-bestemmelser/kommuneplaner/kommuneplaner/kommuneplanens-samfunnsdel-2018-2030.pdf
